DateOfBirth,Email,FavoriteColor,FirstName,LastName
4/27/2008,NoahRogers@NnEmail.com,Candy apple red,Noah,Rogers
11/22/2008,NoahMorris@KnEmail.com,CG red,Noah,Morris
12/1/2005,RileyButler@NmEmail.com,Bluetiful,Riley,Butler
7/6/2008,OliviaMartin@AxEmail.com,Citrine,Olivia,Martin
9/27/2008,SophiaWilliams@HaEmail.com,Bright green,Sophia,Williams
12/1/2007,IsaacAdams@DoEmail.com,Desert sand,Isaac,Adams
8/11/1995,IslaHayes@AaEmail.com,Dogwood rose,Isla,Hayes
8/27/2018,HarperRichardson@IyEmail.com,Charcoal,Harper,Richardson
7/25/2002,CamillaMitchell@JuEmail.com,Floral white,Camilla,Mitchell
7/5/1995,AsherReed@HzEmail.com,Brandy,Asher,Reed
12/17/1998,JacobGray@UfEmail.com,Claret,Jacob,Gray
8/18/2009,PenelopeDiaz@QnEmail.com,Coral,Penelope,Diaz
2/9/1995,LeahNelson@DkEmail.com,Brink pink,Leah,Nelson
9/27/1995,LucasGonzales@YvEmail.com,Dogwood rose,Lucas,Gonzales
1/27/2003,MayaCooper@OhEmail.com,Dark purple,Maya,Cooper
9/28/2019,MateoMoore@VrEmail.com,Dark moss green,Mateo,Moore
5/12/2004,OliverStewart@OmEmail.com,Castleton green,Oliver,Stewart
10/28/2015,LilaAlexander@ZpEmail.com,Deep jungle green,Lila,Alexander
3/22/2002,JaydenWright@HkEmail.com,Fern green,Jayden,Wright
12/14/2020,LukeCarter@IoEmail.com,Ash gray,Luke,Carter
1/8/2016,LucasRobinson@YuEmail.com,Burnt umber,Lucas,Robinson
6/14/2000,MaverickClark@IpEmail.com,Celeste,Maverick,Clark
5/15/2011,MatthewMorris@SpEmail.com,Alice blue,Matthew,Morris
2/9/2008,LeoHoward@CsEmail.com,French raspberry,Leo,Howard
4/28/1998,ArianaWatson@OnEmail.com,Amaranth purple,Ariana,Watson
8/15/2005,MatthewHughes@LmEmail.com,Yellow,Matthew,Hughes
4/26/2019,JayceRogers@YuEmail.com,Brilliant rose,Jayce,Rogers
7/6/2016,EllaWalker@QhEmail.com,Air superiority blue,Ella,Walker
2/8/2009,OwenLopez@XxEmail.com,Dark pastel green,Owen,Lopez
12/15/2002,JackPowell@KdEmail.com,Dark green,Jack,Powell
