DateOfBirth,Email,FavoriteColor,FirstName,LastName
3/14/1952,a1@email3t.com,blue,Charles,Criswellson
3/15/1966,a2@email3t.com,green,Dan,Thompsonson
3/16/1972,a3@email3t.com,yellow,Doug,Bacason
9/12/1999,a4@email3t.com,pink,Jeff,Stoverson
9/13/1999,a5@email3t.com,orange,Teis,Romerson
9/14/1999,a6@email3t.com,red,Bill,Aabyson
9/15/1999,a7@email3t.com,black,Tom,Abottson
9/16/1999,a8@email3t.com,grey,Steve,Ablerson
9/17/1999,a9@e3t.com,brown,Willy,Babichson
6/11/2000,a10@e3t.com,tan,Mathew,Beckerson
6/12/2000,a11@e3t.com,white,Rachelle,Mitchellson
6/13/2000,a12@f3t.com,emerald,Pattrick,Michealsson
6/14/2000,a13@g3t.com,khaki,Gene,Thomesson
6/15/2000,d45@hh3t.com,hunter,Jerry,Barelason
6/16/2000,dre@hhh3t.com,denim,Dianne,Sanchezson
7/21/1989,asdf@ert3t.com,sapphire,Debbie,Williamsson
7/22/1989,er@hhh3t.com,turquoise,Nelda,Bachertson
7/23/1989,xcv@ggg.net,robin,Martha,Andersonson
6/8/1965,dfgh@tyu.biz,pool,Quinten,Chavezson
6/9/1965,cod@ffh3t.com,ivory,Chris,Chenowethson
6/10/1965,cvbn@erty3t.com,olive,Laura,Alberezson
6/11/1965,fghj@fde3t.com,sage,Grant,Cheryson
6/12/1965,erggn@gter3t.com,avacado,Gabe,Childersson
6/13/1965,cvbnfgh@rtyu3t.com,navy,Shannon,Smithson
7/9/1980,yyuiouyi@vbnm3t.com,pacific,Isabelle,Jonesson
7/10/1980,uiyoy@eret3t.com,indigo,Terry,Watsonson
7/11/1980,vbnvm@ertyyy3t.com,orchid,Becky,Jasminson
7/12/1980,cvbn@yuio3t.com,blush,Rebecca,Coruthersson
7/13/1980,sdffr@ertert3t.com,mauve,Wallice,Faerberson
7/14/1980,bnmert@tyeg3t.com,rose,Winchester,Quastson
4/27/2008,NoahRogers@NnEmail.com,Candy apple red,Noah,Rogers
11/22/2008,NoahMorris@KnEmail.com,CG red,Noah,Morris
12/1/2005,RileyButler@NmEmail.com,Bluetiful,Riley,Butler
7/6/2008,OliviaMartin@AxEmail.com,Citrine,Olivia,Martin
9/27/2008,SophiaWilliams@HaEmail.com,Bright green,Sophia,Williams
12/1/2007,IsaacAdams@DoEmail.com,Desert sand,Isaac,Adams
8/11/1995,IslaHayes@AaEmail.com,Dogwood rose,Isla,Hayes
8/27/2018,HarperRichardson@IyEmail.com,Charcoal,Harper,Richardson
7/25/2002,CamillaMitchell@JuEmail.com,Floral white,Camilla,Mitchell
7/5/1995,AsherReed@HzEmail.com,Brandy,Asher,Reed
12/17/1998,JacobGray@UfEmail.com,Claret,Jacob,Gray
8/18/2009,PenelopeDiaz@QnEmail.com,Coral,Penelope,Diaz
2/9/1995,LeahNelson@DkEmail.com,Brink pink,Leah,Nelson
9/27/1995,LucasGonzales@YvEmail.com,Dogwood rose,Lucas,Gonzales
