DateOfBirth	Email	FavoriteColor	FirstName	LastName
6/16/1993	qkkum@emqil.com	avacado	Winchester	Aaby
6/15/1993	dktkb@emqil.com	black	Willy	Abler
6/14/1993	aklkgf@emqil.com	blue	Wallice	Abott
6/13/1993	zewtkewtmfgm@emqil.com	blush	Tom	Alberez
6/12/1993	dfgmkwwkt@emqil.com	brown	Terry	Anderson
6/11/1993	kktgujkewt5@emqil.com	denim	Teis	Babich
6/13/1985	wewjekob@emqil.com	emerald	Steve	Baca
6/12/1985	sdukiomgjmg@emqil.com	green	Shannon	Bachert
6/11/1985	iuosdgfwwe@e.com	grey	Rebecca	Barela
6/10/1985	otgfkewbmjdfn@e.com	hunter	Rachelle	Becker
6/8/1985	sdktwew@e.com	indigo	Quinten	Chavez
6/8/1985	xcvbgewte@f.com	ivory	Pattrick	Chenoweth
7/14/1982	uttkklfgfbmgw@g.com	khaki	Nelda	Chery
7/13/1982	x4dfgg5@mm.com	mauve	Mathew	Childers
7/12/1980	xwe@mmm.com	navy	Martha	Coruthers
7/11/1980	qsxf@ewt.com	olive	Laura	Criswell
7/10/1980	ww@mmm.com	orange	Jerry	Faerber
7/8/1980	xck@ggg.net	orchid	Jeff	Jasmin
8/17/1978	xfgm@tku.biz	pacific	Isabelle	Jones
8/16/1978	cox@ffm.com	pink	Grant	Micheals
8/15/1978	ckzn@wwtk.com	pool	Gene	Mitchell
8/14/1978	fgmj@fxw.com	red	Gabe	Quast
8/13/1978	wwggn@gtww.com	robin	Doug	Romer
8/12/1978	ckznfgm@wtku.com	rose	Dianne	Sanchez
3/16/1972	kkuiouki@kznm.com	sage	Debbie	Smith
7/23/1970	uikok@wwwt.com	sapphire	Dan	Stover
7/22/1970	kznkm@wwtkkk.com	tan	Chris	Thomes
7/21/1970	ckzn@kuio.com	turquoise	Charles	Thompson
3/15/1967	sxffw@wwtwwt.com	white	Bill	Watson
3/14/1952	znmwwt@tkwg.com	yellow	Becky	Williams
